img1,img2,question,answer1,answer2,correct
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_784_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_784_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,ArmChair was moved left and away from the camera ,ArmChair was moved right and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_589_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_589_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and away from the camera ,Chair was moved right and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_872_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_872_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Bed was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_132_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_132_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,CoffeeMachine was moved left and towards the camera ,CoffeeMachine was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_897_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_897_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,HousePlant was moved right and towards the camera ,HousePlant was moved left and away from the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_617_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_617_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,table was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_675_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_675_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,DiningTable was moved left and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_823_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_823_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,DiningTable was moved left and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_488_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_488_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and towards the camera ,Chair was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_766_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_766_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,DiningTable was moved left and away from the camera ,no objects moved,2
